id,name_concept_id,left_language,left_value,right_language,right_value,relation_type,confidence,person_identity_merge_policy,source_ids
rel-0001,ce-name-aishat,ce,Ӏайшат,ru,Айшат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0002,ce-name-aminat,ce,Аминат,ru,Аминат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0003,ce-name-petimat,ce,ПетӀимат,ru,Петимат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0004,ce-name-khadizhat,ce,Хадижат,ru,Хадижат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0005,ce-name-zainap,ce,Зайнап,ru,Зайнап,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0006,ce-name-maryam,ce,Марем,ru,Марьям,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0007,ce-name-layla,ce,Лайла,ru,Лайла,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0008,ce-name-zukhra,ce,ЗухӀра,ru,Зухра,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0009,ce-name-madina,ce,Медина,ru,Мадина,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0010,ce-name-malika,ce,Малика,ru,Малика,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0011,ce-name-rukiyat,ce,Рукьият,ru,Рукият,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0012,ce-name-sekinat,ce,Секинат,ru,Секинат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0013,ce-name-kulsum,ce,Кулсум,ru,Кулсум,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0014,ce-name-bilqiz,ce,Билкъиз,ru,Билкис,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0015,ce-name-zelikha,ce,Зелиха,ru,Зелиха,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0016,ce-name-aset,ce,Асет,ru,Асет,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0017,ce-name-zhamilat,ce,Жамилат,ru,Жемилат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0018,ce-name-rebiat,ce,РебиӀат,ru,Ребиат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0019,ce-name-rakhimat,ce,Рахьимат,ru,Рахимат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
